snippet_number	original_error	original_error_type	lexecutor_error	lexecutor_error_type	action
1			SyntaxError	SyntaxError	
2			SyntaxError	SyntaxError	
3			null	null	
4			SyntaxError	SyntaxError	
5			null	null	
6			null	null	
7	ValueError: creationflags is only supported on Windows platforms	ValueError	ValueError: creationflags is only supported on Windows platforms	ValueError	
8			SyntaxError	SyntaxError	
9			null	null	
10			SyntaxError	SyntaxError	
11			null	null	
12			null	null	
13			SyntaxError	SyntaxError	
14			null	null	
15			null	null	
16			SyntaxError	SyntaxError	
17	pytz.exceptions.UnknownTimeZoneError: 'Asia/India'	pytz.exceptions.UnknownTimeZoneError	pytz.exceptions.UnknownTimeZoneError: 'Asia/India'	pytz.exceptions.UnknownTimeZoneError	
18			SyntaxError	SyntaxError	
19			SyntaxError	SyntaxError	
20			null	null	
21			SyntaxError	SyntaxError	
22			SyntaxError	SyntaxError	
23	NameError: name 'os' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
24			null	null	
25			null	null	
26			SyntaxError	SyntaxError	
27			SyntaxError	SyntaxError	
28			SyntaxError	SyntaxError	
29			SyntaxError	SyntaxError	
30			null	null	
31			SyntaxError	SyntaxError	
32			IndentationError	IndentationError	
33			IndentationError	IndentationError	
34			SyntaxError	SyntaxError	
35			SyntaxError	SyntaxError	
36			null	null	
37			SyntaxError	SyntaxError	
38			null	null	
39			null	null	
40			SyntaxError	SyntaxError	
41			SyntaxError	SyntaxError	
42			SyntaxError	SyntaxError	
43			SyntaxError	SyntaxError	
44			SyntaxError	SyntaxError	
45	NameError: name 'my_crappy_range' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
46			null	null	
47	NameError: name 'df' is not defined	NameError	IndexError: list index out of range	IndexError	
48	NameError: name 'key' is not defined	NameError	NameError: name 'key' is not defined	NameError	
49			SyntaxError	SyntaxError	
50			SyntaxError	SyntaxError	
51			SyntaxError	SyntaxError	
52			null	null	
53			SyntaxError	SyntaxError	
54			null	null	
55			SyntaxError	SyntaxError	
56			SyntaxError	SyntaxError	
57			SyntaxError	SyntaxError	
58			SyntaxError	SyntaxError	
59			SyntaxError	SyntaxError	
60			null	null	
61			SyntaxError	SyntaxError	
62			null	null	
63			SyntaxError	SyntaxError	
64			null	null	
65			null	null	
66			null	null	
67			SyntaxError	SyntaxError	
68			null	null	
69			SyntaxError	SyntaxError	
70			IndentationError	IndentationError	
71			null	null	
72			SyntaxError	SyntaxError	
73			SyntaxError	SyntaxError	
74			null	null	
75	FileNotFoundError: yourfile.dat not found	FileNotFoundError	FileNotFoundError: yourfile.dat not found.	FileNotFoundError	
76			null	null	
77			SyntaxError	SyntaxError	
78			SyntaxError	SyntaxError	
79			null	null	
80			null	null	
81			null	null	
82			SyntaxError	SyntaxError	
83			SyntaxError	SyntaxError	
84			SyntaxError	SyntaxError	
85			null	null	
86			SyntaxError	SyntaxError	
87			SyntaxError	SyntaxError	
88			null	null	
89			SyntaxError	SyntaxError	
90	ModuleNotFoundError: No module named 'typeguard'	ModuleNotFoundError	TypeError: 'type' object is not subscriptable	TypeError	
91			SyntaxError	SyntaxError	
92	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
93			SyntaxError	SyntaxError	
94			null	null	
95			null	null	
96			SyntaxError	SyntaxError	
97			SyntaxError	SyntaxError	
98	NameError: name 'sys' is not defined	NameError	TypeError: unsupported operand type(s) for >>: 'builtin_function_or_method' and 'DummyObject'. Did you mean "print(<message>, file=<output_stream>)"?	TypeError	
99			null	null	
100	NameError: name 'os' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
101			SyntaxError	SyntaxError	
102	NameError: name 'keys' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
103			SyntaxError	SyntaxError	
104			SyntaxError	SyntaxError	
105			null	null	
106			SyntaxError	SyntaxError	
107	FileNotFoundError: [Errno 2] No such file or directory: 'path/to/save/image/to.png'	FileNotFoundError	TypeError: cannot unpack non-iterable DummyObject object	TypeError	
108			null	null	
109			null	null	
110			null	null	
111			SyntaxError	SyntaxError	
112			SyntaxError	SyntaxError	
113			null	null	
114			null	null	
115			null	null	
116			null	null	
117			null	null	
118	ValueError: can't have unbuffered text I/O	ValueError	ValueError: can't have unbuffered text I/O	ValueError	
119			TypeError: _c_() got multiple values for argument 'fct'	TypeError	
120			null	null	
121			null	null	
122			SyntaxError	SyntaxError	
123	NameError: name 'b' is not defined	NameError	TypeError: isinstance() arg 2 must be a type or tuple of types	TypeError	
124	FileNotFoundError: [Errno 2] No such file or directory: 'data.json'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'data.json'	FileNotFoundError	
125	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
126	FileNotFoundError: [Errno 2] No such file or directory: '/my/directory' # OSError: [Errno 30] Read-only file system: '/my'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: '/my/directory' # OSError: [Errno 30] Read-only file system: '/my'	FileNotFoundError	
127			null	null	
128			SyntaxError	SyntaxError	
129			null	null	
130			null	null	
131	NameError: name 'Path' is not defined	NameError	TypeError: 'DummyResource' object is not callable	TypeError	
132			SyntaxError	SyntaxError	
133			null	null	
134			null	null	
135			SyntaxError	SyntaxError	
136			null	null	
137			SyntaxError	SyntaxError	
138			null	null	
139			SyntaxError	SyntaxError	
140			null	null	
141			null	null	
142			null	null	
143			SyntaxError	SyntaxError	
144			SyntaxError	SyntaxError	
145			null	null	
146			null	null	
147			null	null	
148			SyntaxError	SyntaxError	
149			null	null	
150			null	null	
151			null	null	
152			SyntaxError	SyntaxError	
153			null	null	
154			null	null	
155			null	null	
156			SyntaxError	SyntaxError	
157			null	null	
158	NameError: name 'df' is not defined	NameError	TypeError: 'DummyObject' object does not support item assignment	TypeError	
159			null	null	
160	IndexError: list index out of range	IndexError	IndexError: list index out of range	IndexError	
161			null	null	
162	NameError: name 'y' is not defined	NameError	NameError: name 'y' is not defined	NameError	
163			null	null	
164			SyntaxError	SyntaxError	
165			null	null	
166	FileNotFoundError: [Errno 2] No such file or directory: 'data.txt'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'data.txt'	FileNotFoundError	
167			null	null	
168			null	null	
169			null	null	
170			SyntaxError	SyntaxError	
171			SyntaxError	SyntaxError	
172			SyntaxError	SyntaxError	
173			SyntaxError	SyntaxError	
174			SyntaxError	SyntaxError	
175			null	null	
176			SyntaxError	SyntaxError	
177			null	null	
178			SyntaxError	SyntaxError	
179			SyntaxError	SyntaxError	
180			SyntaxError	SyntaxError	
181	ModuleNotFoundError: No module named 'crtime'	ModuleNotFoundError	TypeError: 'DummyObject' object is not iterable	TypeError	
182			null	null	
183			SyntaxError	SyntaxError	
184			SyntaxError	SyntaxError	
185			null	null	
186			null	null	
187			null	null	
188			SyntaxError	SyntaxError	
189			null	null	
190			null	null	
191			null	null	
192			SyntaxError	SyntaxError	
193			null	null	
194			null	null	
195			IndentationError	IndentationError	
196			null	null	
197			null	null	
198			SyntaxError	SyntaxError	
199			SyntaxError	SyntaxError	
200			SyntaxError	SyntaxError	
201			null	null	
202			null	null	
203			SyntaxError	SyntaxError	
204			null	null	
205			null	null	
206			null	null	
207			SyntaxError	SyntaxError	
208			SyntaxError	SyntaxError	
209			null	null	
210			null	null	
211			null	null	
212			SyntaxError	SyntaxError	
213			null	null	
214			SyntaxError	SyntaxError	
215			SyntaxError	SyntaxError	
216			SyntaxError	SyntaxError	
217			IndentationError	IndentationError	
218			SyntaxError	SyntaxError	
219			SyntaxError	SyntaxError	
220			null	null	
221			SyntaxError	SyntaxError	
222			SyntaxError	SyntaxError	
223			SyntaxError	SyntaxError	
224			null	null	
225			KeyError: 'x'	KeyError	
226			null	null	
227			null	null	
228			null	null	
229			null	null	
230			null	null	
231			null	null	
232			SyntaxError	SyntaxError	
233			null	null	
234			null	null	
235			IndentationError	IndentationError	
236			SyntaxError	SyntaxError	
237			null	null	
238			SyntaxError	SyntaxError	
239			null	null	
240			SyntaxError	SyntaxError	
241			null	null	
242			SyntaxError	SyntaxError	
243			null	null	
244			null	null	
245			SyntaxError	SyntaxError	
246			SyntaxError	SyntaxError	
247			SyntaxError	SyntaxError	
248			null	null	
249			null	null	
250			SyntaxError	SyntaxError	
251	NameError: name 'number' is not defined	NameError	NameError: name 'number' is not defined	NameError	
252			SyntaxError	SyntaxError	
253			SyntaxError	SyntaxError	
254			null	null	
255			SyntaxError	SyntaxError	
256			SyntaxError	SyntaxError	
257			null	null	
258			null	null	
259			SyntaxError	SyntaxError	
260			SyntaxError	SyntaxError	
261	NameError: name 'somelist' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
262			SyntaxError	SyntaxError	
263			null	null	
264	FileNotFoundError: [Errno 2] No such file or directory: 'filename.csv'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'filename.csv'	FileNotFoundError	
265			null	null	
266			SyntaxError	SyntaxError	
267			null	null	
268			null	null	
269			null	null	
270			SyntaxError	SyntaxError	
271			null	null	
272			SyntaxError	SyntaxError	
273			SyntaxError	SyntaxError	
274	NameError: name 'pandas' is not defined	NameError	TypeError: unsupported operand type(s) for >>: 'DummyObject' and 'DummyObject'	TypeError	
275			SyntaxError	SyntaxError	
276			null	null	
277			SyntaxError	SyntaxError	
278			SyntaxError	SyntaxError	
279			null	null	
280			SyntaxError	SyntaxError	
281			null	null	
282			SyntaxError	SyntaxError	
283			SyntaxError	SyntaxError	
284			SyntaxError	SyntaxError	
285			SyntaxError	SyntaxError	
286	NameError: name 'lines' is not defined	NameError	TypeError: argument of type 'DummyObject' is not iterable	TypeError	
287	NameError: name 'directory' is not defined	NameError	FileNotFoundError: [Errno 2] No such file or directory: 'a'	FileNotFoundError	
288			SyntaxError	SyntaxError	
289			SyntaxError	SyntaxError	
290			SyntaxError	SyntaxError	
291			null	null	
292			null	null	
293			SyntaxError	SyntaxError	
294			SyntaxError	SyntaxError	
295			null	null	
296			null	null	
297			SyntaxError	SyntaxError	
298			null	null	
299			null	null	
300			SyntaxError	SyntaxError	
301			null	null	
302			SyntaxError	SyntaxError	
303			null	null	
304			SyntaxError	SyntaxError	
305			null	null	
306			SyntaxError	SyntaxError	
307			null	null	
308			null	null	
309	NameError: name 'Any' is not defined	NameError	NameError: name 'Any' is not defined	NameError	
310			SyntaxError	SyntaxError	
311			SyntaxError	SyntaxError	
312			SyntaxError	SyntaxError	
313			null	null	
314			SyntaxError	SyntaxError	
315			SyntaxError	SyntaxError	
316			null	null	
317			null	null	
318	NameError: name 'text' is not defined	NameError	TypeError: must be str or None, not DummyObject	TypeError	
319			SyntaxError	SyntaxError	
320			SyntaxError	SyntaxError	
321			null	null	
322			null	null	
323			SyntaxError	SyntaxError	
324	ValueError: Invalid email address	ValueError	ValueError: Invalid email address.	ValueError	
325			SyntaxError	SyntaxError	
326			null	null	
327			SyntaxError	SyntaxError	
328			null	null	
329			SyntaxError	SyntaxError	
330			SyntaxError	SyntaxError	
331	FileNotFoundError: [Errno 2] No such file or directory: 'file.zip'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'file.zip'	FileNotFoundError	
332	NameError: name 'np' is not defined	NameError	ModuleNotFoundError: No module named 'sklearn'	ModuleNotFoundError	
333			null	null	
334			SyntaxError	SyntaxError	
335	KeyError: 3	KeyError	KeyError: 3	KeyError	
336			SyntaxError	SyntaxError	
337			SyntaxError	SyntaxError	
338	NameError: name 'dfbc' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
339	NameError: name 'xrange' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
340			null	null	
341			null	null	
342			null	null	
343			null	null	
344			null	null	
345			SyntaxError	SyntaxError	
346			null	null	
347			SyntaxError	SyntaxError	
348			SyntaxError	SyntaxError	
349			SyntaxError	SyntaxError	
350			null	null	
351			null	null	
352			SyntaxError	SyntaxError	
353			null	null	
354	TypeError: an integer is required (got type str)	TypeError	TypeError: an integer is required (got type str)	TypeError	
355			null	null	
356			IndentationError	IndentationError	
357			SyntaxError	SyntaxError	
358			SyntaxError	SyntaxError	
359			null	null	
360			null	null	
361			SyntaxError	SyntaxError	
362			null	null	
363			TypeError: normalize() argument 2 must be str, not DummyObject	TypeError	
364			null	null	
365			SyntaxError	SyntaxError	
366			SyntaxError	SyntaxError	
367			SyntaxError	SyntaxError	
368			null	null	
369			null	null	
370			null	null	
371			SyntaxError	SyntaxError	
372			null	null	
373			SyntaxError	SyntaxError	
374			SyntaxError	SyntaxError	
375	NameError: name 'np' is not defined	NameError	TypeError: unsupported operand type(s) for *: 'DummyObject' and 'DummyObject'	TypeError	
376			null	null	
377			SyntaxError	SyntaxError	
378			null	null	
379	ValueError: No objects to concatenate	ValueError	ValueError: No objects to concatenate	ValueError	
380			null	null	
381			null	null	
382			null	null	
383			null	null	
384			SyntaxError	SyntaxError	
385			SyntaxError	SyntaxError	
386			SyntaxError	SyntaxError	
387			null	null	
388			null	null	
389			null	null	
390			SyntaxError	SyntaxError	
391	ZeroDivisionError: division by zero	ZeroDivisionError	ZeroDivisionError: division by zero	ZeroDivisionError	
392			null	null	
393			SyntaxError	SyntaxError	
394			SyntaxError	SyntaxError	
395			null	null	
396			SyntaxError	SyntaxError	
397			SyntaxError	SyntaxError	
398			null	null	
399			SyntaxError	SyntaxError	
400			null	null	
401			SyntaxError	SyntaxError	
402			null	null	
403	OSError: [Errno 49] Can't assign requested address	OSError	OSError: [Errno 49] Can't assign requested address	OSError	
404			IndentationError	IndentationError	
405	NameError: name 'default_path' is not defined	NameError	FileNotFoundError: [Errno 2] No such file or directory: 'a'	FileNotFoundError	
406	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Python27\\Lib\\genericpath.py'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Python27\\Lib\\genericpath.py'	FileNotFoundError	
407			null	null	
408			SyntaxError	SyntaxError	
409	FileNotFoundError: [Errno 2] No such file or directory: '/pythonwork/thefile_subset11.csv'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: '/pythonwork/thefile_subset11.csv'	FileNotFoundError	
410			SyntaxError	SyntaxError	
411			SyntaxError	SyntaxError	
412			SyntaxError	SyntaxError	
413			null	null	
414			null	null	
415			null	null	
416			null	null	
417	NameError: name 'l' is not defined	NameError	_csv.Error: iterable expected, not DummyObject	_csv.Error	
418			SyntaxError	SyntaxError	
419			null	null	
420	NameError: name 'In' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
421	NameError: name 'some_function' is not defined	NameError	TypeError: unsupported operand type(s) for -: 'str' and 'str'	TypeError	
422			SyntaxError	SyntaxError	
423			SyntaxError	SyntaxError	
424			SyntaxError	SyntaxError	
425			null	null	
426			null	null	
427			null	null	
428			null	null	
429	NameError: name 'groupby' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
430			SyntaxError	SyntaxError	
